Hashes,Results
A5EDD86380E53E4FB10E8BD556E1AE7EE9F68D7508A9CA8BF0C67CEFEEC10F85,1.51
CFC3A00F67C198FF950E5B1B8CA0F64A317B4E0854800AC8A7FE9D41039C48B5,17.91
AEA2D3881308DFF8EBA13B4E57E1C6CFB36B0B4E9CB7A89867D96B89F61A3694,1.02
C93F0B5F68B19E3D63F982F491613FC5BE061696653C449501AD9FE4F3E2F785,1.01
F7C3D3EB2B4F8EC26CD143613D0B963E4B41BF9CA2FED413736C53B24CBF829B,1.47
D1D2AD452D093414D50CF39DAEFBBB4E22F2D0A22AE62BBE8EE3D19A69B413BB,1.17
8AEE05B743B69B6DFD4E356F53CB6163ED25D6FF4AA0CF8307D20B1D368036EC,1.82
F9227BE235D1D8945B4A14247378441FEBB09A8B71FF93372C91F9471202FFE5,2.04
D68BC52250BBA390C7D7F0B3A52CDBD1C7A86B7F69E556FC1C9F698D921D2D07,2.22
A7C4E40E2D712C2C373A93D3F56A3913238BF0C2B0D800EE4B3A87016E69084F,7.38
5C536AAD682C2C56AD59CAEC63FAB0F174C0555BA3313DADA541F16082DB2670,1
3691C9C78B097CADCEF12C3179FCD187770D5537583A80BC0D40FFD33866B6EE,3.13
8E99C6FA6FEE9D7E61CD000AAAE2550841856E9120BA864D79C0ECD139C53E0A,6.97
C1C5015617CAD1D7AD79E878F2AC5F1DD6BA04C87B53ED528A9BF8F1C01F36E0,2.35
3DDE48151F026808FEFD92172D03252437DCFCE1305E54C139555195ED55431F,1.01
28825AD6D3EE40E23431C53A22E349F5E7C428070CD955273CC4A69338E84063,1.17
5BE0E2BA10819113D119B9EDA61504566AA64DAAEE675E9285062330692D51A2,7.6
8408BF026C0EA6C80840DB140549BA37A7CED7A5F246797E54D8337CFB12F7A6,1.31
29EC95EB4948596B5748ED4FF3EE81F301AB51F8DF3755CAEBFCD885818BBBD9,3.18
978ACF25EA952786D05E036FB7B1295E2254034752877BA3A0E94E607F42A617,3.82
AB5DABC5F5D9C2E8FAA16DEDC73821D05596D07AE127F983442F7EEF8B2FE597,2.13
B016F279EA82827852A6762297D02BC24D34284F2D2BCC9C020AD1032DBC4BB8,53.06
D91D04B50436EF586433B5ECD02443031BFB7E9E6ACCDD399F61F8696357CFD1,19.51
947E579EE8EC8D2E35368CC82190397187D334F52623E12D79C24E96EB4888BA,4.74
8B5B54E3A9EC21E6945540132F8756920C814762DA5ECF7AD68C558AE1A64095,1.12
386D88D7A94C5878F6CAA75442332EE3C55B4AF4BE25BC8E20B6D55550FF92D9,13.46
92237E002C1B493A124768444DD2981B5A8AB6AEE64620D61127959121394DE1,11.67
8E9E1B6E5CE633E299CEAFF2A744164EC7305ED311CFD8DA988A937E15821EB8,1.33
3EE5ECCA799DB372EC4F6EF0608DBA1E84D91994CA7EA4BD30D1ECE8597D00BB,1.53
E80919ACD7D514D6D9657028ACFA1A4DE65097101993A360DCC2ED30C7B06C8F,1.27
C4130E962C921CBD8A3C1A739A7FEB29B6550F32269B49F72E528E6BB2C88145,1.29
5C548AB0D0B545C34DD85AF8B309D9585CDC4D3A5A5BF97242C42F77B1DC90BB,2.96
8474F7A87B3B1E6C0BEBBC8330F3DFC143533E8C69B1C9C9EB5B26DB896CD7E4,4.35
8A1EDA14735104AFCC820B3C535BA4512B1F972A8E6BA38CA98274A05173D720,2.49
BD2B808E779B741AE503230C4EE914A2EEDC13CC93E4AE860E27B3737AAB5D2A,2.04
351D79ED92182602CAF43CB25AE4DEF7D171BB3574FCC1CDAF4A93063E8220BB,1.2
D8DD848D5809D4D6F6E4844B7D9F96F64238C35E4F2135617D430C7E7E157D53,3.99
597D29F1A6A6D71FD97D5B6747D4EB9443A7D327C6C62B03434A17921346D520,1.07
E7835BEE114E47E4345EA2B482EDDBF152E86A638B374BF15892DB61A9844B1E,1.51
56BF6086BFF301E9697C2F46C59D58C1713BA5EA1E1D8EDB816A27EB9D4B0FFA,1.47
C82B29CBDA5548E7AD20103D53688498553DDC4F9D37E06CFF712BF9B5F88335,1.31
46B66DDCF7A17BAFBC02DD8919C6CDDED8CDCA60E53F9B4141797D39AF59C4D8,1.01
DB48163A10B629EE69979D4BB3F280F5448DE5A7788C6B15367E0489E4CE89DA,1.95
66D62B6E1D3DB688BFCD158537368AF5A4B4CD3DAD1415ACF6AAE68995C8677C,24.18
